cik,name,arm,failed,detail
1474627,Lianluo Smart Ltd  (NEGG)  (CIK 0001474627),IPO,C0,"11.0 years of EDGAR history before the registration statement (earliest filing 2009-11-12, S-1) - not a new listing"
1477815,"Sweetgreen, Inc.  (SG)  (CIK 0001477815)",IPO,C0,"11.9 years of EDGAR history before the registration statement (earliest filing 2009-12-02, D) - not a new listing"
1482981,"Vita Coco Company, Inc.  (COCO)  (CIK 0001482981)",IPO,C0,"11.7 years of EDGAR history before the registration statement (earliest filing 2010-02-03, D) - not a new listing"
1484612,"Outset Medical, Inc.  (OM)  (CIK 0001484612)",IPO,C0,"10.5 years of EDGAR history before the registration statement (earliest filing 2010-02-26, D) - not a new listing"
1484769,"FaceBank Group, Inc.  (FUBO)  (CIK 0001484769)",IPO,C0,"10.5 years of EDGAR history before the registration statement (earliest filing 2010-02-25, D) - not a new listing"
1484778,ThredUp Inc.  (TDUP)  (CIK 0001484778),IPO,C0,"11.4 years of EDGAR history before the registration statement (earliest filing 2010-02-24, D) - not a new listing"
1492074,Abcam plc  (CIK 0001492074),IPO,C0,"10.4 years of EDGAR history before the registration statement (earliest filing 2010-05-17, F-6EF) - not a new listing"
1493318,eToro Group Ltd.  (CIK 0001493318),DESPAC,C0,"11.2 years of EDGAR history before the registration statement (earliest filing 2010-06-09, D) - not a new listing"
1496963,"Squarespace, Inc.  (SQSP)  (CIK 0001496963)",IPO,C0,"10.7 years of EDGAR history before the registration statement (earliest filing 2010-07-19, D) - not a new listing"
1498233,"Growth Capital Acquisition Corp.  (CPTN, CPTNW)  (CIK 0001498233)",DESPAC,C0,"11.1 years of EDGAR history before the registration statement (earliest filing 2010-08-11, 10-12G) - not a new listing"
1499717,"Staffing 360 Solutions, Inc.  (STAF)  (CIK 0001499717)",IPO,C0,"10.4 years of EDGAR history before the registration statement (earliest filing 2010-09-02, S-1) - not a new listing"
1499780,GLOBUS MARITIME LTD  (GLBS)  (CIK 0001499780),IPO,C0,"9.5 years of EDGAR history before the registration statement (earliest filing 2010-11-22, F-1) - not a new listing"
1499961,"Net Element, Inc.  (MULN)  (CIK 0001499961)",DESPAC,C0,"10.7 years of EDGAR history before the registration statement (earliest filing 2010-09-03, F-1) - not a new listing"
1504776,Warby Parker Inc.  (WRBY)  (CIK 0001504776),IPO,C0,"10.8 years of EDGAR history before the registration statement (earliest filing 2010-11-03, D) - not a new listing"
1506042,Navios South American Logistics Inc.  (CIK 0001506042),IPO,C0,"9.1 years of EDGAR history before the registration statement (earliest filing 2012-01-31, F-4) - not a new listing"
1512499,"LINDBLAD EXPEDITIONS HOLDINGS, INC.  (LIND)  (CIK 0001512499)",DESPAC,C0,"8.3 years of EDGAR history before the registration statement (earliest filing 2011-02-15, S-1) - not a new listing"
1517006,Sunshine Silver Mining & Refining Corp  (GATO)  (CIK 0001517006),IPO,C0,"9.5 years of EDGAR history before the registration statement (earliest filing 2011-03-30, D) - not a new listing"
1519472,"SolarMax Technology, Inc.  (SMXT)  (CIK 0001519472)",IPO,C0,"8.7 years of EDGAR history before the registration statement (earliest filing 2011-05-05, D) - not a new listing"
1530979,"Honest Company, Inc.  (HNST)  (CIK 0001530979)",IPO,C0,"9.6 years of EDGAR history before the registration statement (earliest filing 2011-09-26, D) - not a new listing"
1531152,"BJ's Wholesale Club Holdings, Inc.  (BJ)  (CIK 0001531152)",IPO,C0,"7.3 years of EDGAR history before the registration statement (earliest filing 2011-10-11, D) - not a new listing"
1533523,We Co.  (CIK 0001533523),IPO,C0,"7.8 years of EDGAR history before the registration statement (earliest filing 2011-10-27, D) - not a new listing"
1534969,"SERA PROGNOSTICS, INC.  (SERA)  (CIK 0001534969)",IPO,C0,"9.6 years of EDGAR history before the registration statement (earliest filing 2011-11-21, D) - not a new listing"
1542022,"Samba TV, Inc.  (CIK 0001542022)",IPO,C0,"9.8 years of EDGAR history before the registration statement (earliest filing 2012-02-10, D) - not a new listing"
1543151,"Uber Technologies, Inc  (UBER)  (CIK 0001543151)",IPO,C0,"7.1 years of EDGAR history before the registration statement (earliest filing 2012-02-27, D) - not a new listing"
1551306,"Progyny, Inc.  (PGNY)  (CIK 0001551306)",IPO,C0,"7.3 years of EDGAR history before the registration statement (earliest filing 2012-06-04, D) - not a new listing"
1555279,908 Devices Inc.  (MASS)  (CIK 0001555279),IPO,C0,"8.2 years of EDGAR history before the registration statement (earliest filing 2012-09-04, D) - not a new listing"
1556739,"Thryv Holdings, Inc.  (THRY)  (CIK 0001556739)",IPO,C0,"7.7 years of EDGAR history before the registration statement (earliest filing 2012-12-07, S-4) - not a new listing"
